,index,image_path,label
37,1737,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Pongamia Pinnata (Indian Beech)/PP-S-031.jpg,28
38,1285,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Punica Granatum (Pomegranate)/PG-S-057.jpg,20
39,459,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Moringa Oleifera (Drumstick)/MO-S-037.jpg,7
40,670,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-021.jpg,10
41,1014,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Citrus Limon (Lemon)/CL-S-012.jpg,16
42,1047,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-057.jpg,17
43,1792,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Carissa Carandas (Karanda)/CC-S-020.jpg,29
44,206,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-066.jpg,4
45,842,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Piper Betle (Betel)/PB-S-015.jpg,13
46,491,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Muntingia Calabura (Jamaica Cherry-Gasagase)/MC-S-009.jpg,8
47,1188,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Auriculata (Roxburgh fig)/FA-S-014.jpg,19
48,135,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Trigonella Foenum-graecum (Fenugreek)/TF-S-004.jpg,2
49,1700,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Pongamia Pinnata (Indian Beech)/PP-S-034.jpg,28
50,18,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Alpinia Galanga (Rasna)/AG-S-047.jpg,0
51,1039,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-037.jpg,17
52,674,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-050.jpg,10
53,1018,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Citrus Limon (Lemon)/CL-S-001.jpg,16
54,522,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Muntingia Calabura (Jamaica Cherry-Gasagase)/MC-S-033.jpg,8
55,187,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-045.jpg,4
56,572,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Religiosa (Peepal Tree)/FR-S-032.jpg,9
57,619,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-109.jpg,10
58,276,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-006.jpg,4
59,1267,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Punica Granatum (Pomegranate)/PG-S-018.jpg,20
60,479,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Moringa Oleifera (Drumstick)/MO-S-056.jpg,7
61,1585,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mangifera Indica (Mango)/MI-S-004.jpg,26
62,744,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Syzygium Jambos (Rose Apple)/SJ-S-053.jpg,11
63,615,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-079.jpg,10
64,156,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Syzygium Cumini (Jamun)/SC-S-005.jpg,3
65,538,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Muntingia Calabura (Jamaica Cherry-Gasagase)/MC-S-020.jpg,8
66,481,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Moringa Oleifera (Drumstick)/MO-S-043.jpg,7
67,191,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-090.jpg,4
68,1051,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-005.jpg,17
69,458,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Moringa Oleifera (Drumstick)/MO-S-076.jpg,7
70,546,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Religiosa (Peepal Tree)/FR-S-059.jpg,9
71,970,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Citrus Limon (Lemon)/CL-S-026.jpg,16
72,390,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Jasminum (Jasmine)/J-S-006.jpg,6
73,1834,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Carissa Carandas (Karanda)/CC-S-001.jpg,29
74,1821,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Carissa Carandas (Karanda)/CC-S-034.jpg,29
75,412,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Jasminum (Jasmine)/J-S-028.jpg,6
76,1064,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-060.jpg,17
77,1745,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Pongamia Pinnata (Indian Beech)/PP-S-004.jpg,28
78,1413,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Nerium Oleander (Oleander)/NO-S-003.jpg,23
79,1502,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ocimum Tenuiflorum (Tulsi)/OT-S-052.jpg,24
80,1109,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-101.jpg,17
81,1440,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Nerium Oleander (Oleander)/NO-S-050.jpg,23
82,672,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-032.jpg,10
83,884,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Hibiscus Rosa-sinensis/HR-S-030.jpg,14
84,1830,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Carissa Carandas (Karanda)/CC-S-040.jpg,29
85,748,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Syzygium Jambos (Rose Apple)/SJ-S-010.jpg,11
86,526,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Muntingia Calabura (Jamaica Cherry-Gasagase)/MC-S-023.jpg,8
87,229,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-055.jpg,4
88,1665,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Artocarpus Heterophyllus (Jackfruit)/AH-S-046.jpg,27
89,1587,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mangifera Indica (Mango)/MI-S-031.jpg,26
90,1295,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Punica Granatum (Pomegranate)/PG-S-012.jpg,20
91,124,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Trigonella Foenum-graecum (Fenugreek)/TF-S-006.jpg,2
92,161,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Syzygium Cumini (Jamun)/SC-S-006.jpg,3
93,1709,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Pongamia Pinnata (Indian Beech)/PP-S-008.jpg,28
94,587,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Religiosa (Peepal Tree)/FR-S-008.jpg,9
95,1290,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Punica Granatum (Pomegranate)/PG-S-004.jpg,20
96,408,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Jasminum (Jasmine)/J-S-018.jpg,6
97,376,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Jasminum (Jasmine)/J-S-030.jpg,6
98,724,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-075.jpg,10
99,692,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-003.jpg,10
100,1351,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Santalum Album (Sandalwood)/SA-S-011.jpg,21
101,568,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Religiosa (Peepal Tree)/FR-S-009.jpg,9
102,76,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Murraya Koenigii (Curry)/MK-S-036.jpg,1
103,1416,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Nerium Oleander (Oleander)/NO-S-001.jpg,23
104,1093,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-013.jpg,17
105,1010,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Citrus Limon (Lemon)/CL-S-013.jpg,16
106,107,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Murraya Koenigii (Curry)/MK-S-023.jpg,1
107,148,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Syzygium Cumini (Jamun)/SC-S-020.jpg,3
108,1036,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-050.jpg,17
109,34,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Alpinia Galanga (Rasna)/AG-S-034.jpg,0
110,997,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Citrus Limon (Lemon)/CL-S-003.jpg,16
111,665,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-115.jpg,10
112,1471,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ocimum Tenuiflorum (Tulsi)/OT-S-023.jpg,24
113,215,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-043.jpg,4
114,963,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Plectranthus Amboinicus (Mexican Mint)/PA-S-015.jpg,15
115,574,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Religiosa (Peepal Tree)/FR-S-047.jpg,9
116,1475,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ocimum Tenuiflorum (Tulsi)/OT-S-001.jpg,24
117,1467,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ocimum Tenuiflorum (Tulsi)/OT-S-037.jpg,24
118,776,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Syzygium Jambos (Rose Apple)/SJ-S-002.jpg,11
119,279,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-022.jpg,4
120,1076,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-076.jpg,17
121,1181,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Tabernaemontana Divaricata (Crape Jasmine)/TD-S-053.jpg,18
122,240,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-098.jpg,4
123,1189,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Auriculata (Roxburgh fig)/FA-S-023.jpg,19
124,1810,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Carissa Carandas (Karanda)/CC-S-027.jpg,29
125,1766,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Carissa Carandas (Karanda)/CC-S-005.jpg,29
126,47,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Alpinia Galanga (Rasna)/AG-S-038.jpg,0
127,262,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-083.jpg,4
128,436,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Moringa Oleifera (Drumstick)/MO-S-072.jpg,7
129,434,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Moringa Oleifera (Drumstick)/MO-S-034.jpg,7
130,565,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Religiosa (Peepal Tree)/FR-S-010.jpg,9
131,1663,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Artocarpus Heterophyllus (Jackfruit)/AH-S-042.jpg,27
132,564,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Religiosa (Peepal Tree)/FR-S-034.jpg,9
133,1341,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Santalum Album (Sandalwood)/SA-S-020.jpg,21
134,14,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Alpinia Galanga (Rasna)/AG-S-002.jpg,0
135,1032,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Basella Alba (Basale)/BA-S-091.jpg,17
136,1421,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Nerium Oleander (Oleander)/NO-S-041.jpg,23
137,1625,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mangifera Indica (Mango)/MI-S-038.jpg,26
138,1169,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Tabernaemontana Divaricata (Crape Jasmine)/TD-S-006.jpg,18
139,1182,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Auriculata (Roxburgh fig)/FA-S-036.jpg,19
140,1629,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mangifera Indica (Mango)/MI-S-040.jpg,26
141,342,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Jasminum (Jasmine)/J-S-001.jpg,6
142,322,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Azadirachta Indica (Neem)/AI-S-021.jpg,5
143,716,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-108.jpg,10
144,1334,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Santalum Album (Sandalwood)/SA-S-018.jpg,21
145,1358,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Santalum Album (Sandalwood)/SA-S-043.jpg,21
146,938,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Plectranthus Amboinicus (Mexican Mint)/PA-S-027.jpg,15
147,402,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Jasminum (Jasmine)/J-S-065.jpg,6
148,1146,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Tabernaemontana Divaricata (Crape Jasmine)/TD-S-026.jpg,18
149,1187,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Auriculata (Roxburgh fig)/FA-S-034.jpg,19
150,900,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Hibiscus Rosa-sinensis/HR-S-012.jpg,14
151,37,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Alpinia Galanga (Rasna)/AG-S-001.jpg,0
152,655,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-091.jpg,10
153,259,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Mentha (Mint)/M-S-069.jpg,4
154,1362,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Santalum Album (Sandalwood)/SA-S-037.jpg,21
155,1487,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ocimum Tenuiflorum (Tulsi)/OT-S-028.jpg,24
156,467,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Moringa Oleifera (Drumstick)/MO-S-057.jpg,7
157,443,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Moringa Oleifera (Drumstick)/MO-S-008.jpg,7
158,152,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Syzygium Cumini (Jamun)/SC-S-014.jpg,3
159,844,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Piper Betle (Betel)/PB-S-035.jpg,13
160,648,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Amaranthus Viridis (Arive-Dantu)/AV-S-111.jpg,10
161,353,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Jasminum (Jasmine)/J-S-021.jpg,6
162,1741,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Pongamia Pinnata (Indian Beech)/PP-S-018.jpg,28
163,808,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Nyctanthes Arbor-tristis (Parijata)/NA-S-018.jpg,12
164,511,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Muntingia Calabura (Jamaica Cherry-Gasagase)/MC-S-036.jpg,8
165,557,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ficus Religiosa (Peepal Tree)/FR-S-016.jpg,9
166,1477,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Ocimum Tenuiflorum (Tulsi)/OT-S-044.jpg,24
167,818,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Nyctanthes Arbor-tristis (Parijata)/NA-S-016.jpg,12
168,175,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Syzygium Cumini (Jamun)/SC-S-015.jpg,3
169,141,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Trigonella Foenum-graecum (Fenugreek)/TF-S-028.jpg,2
170,1388,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Brassica Juncea (Indian Mustard)/BJ-S-016.jpg,22
171,536,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Muntingia Calabura (Jamaica Cherry-Gasagase)/MC-S-008.jpg,8
172,795,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Nyctanthes Arbor-tristis (Parijata)/NA-S-038.jpg,12
173,1175,/home/sohan/scratch/deepherb/Medicinal Leaf Dataset/Segmented Medicinal Leaf Images/Tabernaemontana Divaricata (Crape Jasmine)/TD-S-050.jpg,18
